word,count
uiBuilderAdded,9
uiBuilderAnyChanged,9
uiBuilderChanged,9
workspaceAdded,9
batchCreated,9
exportUpdated,9
uploadUpdated,9
viewUpdated,9
questionDeleted,9
latestInvoice,9
moduleDeleted,9
activitySaved,9
levelSaved,9
levelDeleted,9
itemDeleted,9
domainCreated,9
faqCreated,9
faqUpdated,9
menuUpdated,9
lockUpdated,9
notifyStream,9
threadStream,9
notificationDeleted,9
XBooking,9
channelMessageCreated,9
lastSearchedReport,9
noteUpdated,9
mediaCreated,9
patientAdded,9
entityDeleted,9
language,8
site,8
me,8
key,8
city,8
stripeCustomerId,8
amount,8
reason,8
conversations,8
block,8
deleted,8
component,8
chat,8
ingredient,8
trainer,8
eventList,8
chatMessage,8
keyValue,8
unreadCount,8
trialEnd,8
localEvents,8
block_aggregate,8
block_by_pk,8
liveScore,8
cricketLiveScores,8
eventOdds,8
mixParlaySiteEventOdds,8
myanmarOdds,8
outrightTournaments,8
outrights,8
virtualSportsEventsOdds,8
chatroomMessages,8
nftActivity,8
gameResult,8
canceledAt,8
templateCreated,8
paymentCreated,8
orderChanged,8
batchStatusUpdated,8
workbookUpdated,8
datahookUpdated,8
listenDeviceLoginCodeUpdate,8
listenApproveDeviceLoginCodeRequest,8
listenAttacherDeviceLoginCodeUpdate,8
onNewMessage,8
teacherSaved,8
teacherDeleted,8
studentSaved,8
studentDeleted,8
classSessionSaved,8
classSessionDeleted,8
classActivitySaved,8
classActivityDeleted,8
classGroupSaved,8
classGroupDeleted,8
questionSaved,8
answerSaved,8
answerDeleted,8
commentSaved,8
buildingSaved,8
buildingDeleted,8
roomSaved,8
checkInSaved,8
checkInDeleted,8
classAttendanceSaved,8
classAttendanceDeleted,8
offerUpdated,8
announcementPublished,8
qrReloaded,8
subGetState,8
subListEventExpress,8
subSecurityByLocation,8
taskDeleted,8
curriculumSaved,8
curriculumDeleted,8
schoolSaved,8
schoolDeleted,8
stageSaved,8
stageDeleted,8
subjectSaved,8
subjectDeleted,8
subjectBranchSaved,8
subjectBranchDeleted,8
topicSaved,8
topicDeleted,8
onProductCreated,8
onProductsGet,8
current_period_end,8
pdfUploaded,8
reminderSended,8
reminderGenerated,8
configSaved,8
configDeleted,8
savedSearchSetVideosAdded,8
employeeUpdated,8
groupChanged,8
countryCreated,8
regionUpdated,8
scanUpdated,8
entityCreated,8
newSmsChatMessage,8
accountPaymentCompleted,8
accountPaymentRefunded,8
notificationCounters,8
notificationNewMessage,8
notificationCommunication,8
assetsUpdateEvent,8
assetsInOut,8
projectAdded,8
changedCurrency,8
cpuUsage,8
memUsage,8
cpuGraph,8
logLine,8
deviceUpdated,8
newDiscordUser,8
newTelegramUser,8
nftOrder,8
channelMessageUpdated,8
onNewNotification,8
patientDeleted,8
comments_updated,8
dashboard_account_manager_orders_stats,8
dashboard_activity_stats,8
dashboard_orders,8
dashboard_progress,8
dashboard_stats,8
dashboard_store_manager_orders_stats,8
dashboard_stores_stats,8
dashboard_subject_progress,8
dashboard_subject_stats,8
job_created,8
job_updated,8
product_ordered,8
survey_import_orders,8
unseen_notifications,8
coachChatUpdates,8
start,7
featured,7
title,7
end,7
website,7
documentId,7
userUpdate,7
created,7
total,7
stock,7
recipe,7
newOrder,7
live,7
collectionName,7
swaps,7
usersList,7
swap,7
_meta,7
newQuestion,7
tokenPrices,7
countdown,7
questionsList,7
userEvent,7
balancer,7
latestPrice,7
account_aggregate,7
COUNTRIES,7
users_aggregate,7
schemaVersion,7
balancers,7
poolContract,7
poolContracts,7
poolToken,7
poolTokens,7
priceRateProvider,7
priceRateProviders,7
circuitBreaker,7
circuitBreakers,7
poolShare,7
poolShares,7
userInternalBalance,7
userInternalBalances,7
gradualWeightUpdate,7
gradualWeightUpdates,7
ampUpdate,7
ampUpdates,7
swapFeeUpdate,7
swapFeeUpdates,7
joinExit,7
joinExits,7
latestPrices,7
poolHistoricalLiquidity,7
poolHistoricalLiquidities,7
tokenPrice,7
managementOperation,7
managementOperations,7
poolSnapshot,7
poolSnapshots,7
tokenSnapshot,7
tokenSnapshots,7
tradePair,7
tradePairs,7
tradePairSnapshot,7
tradePairSnapshots,7
balancerSnapshot,7
balancerSnapshots,7
protocolIdData,7
protocolIdDatas,7
account_by_pk,7
featured_by_pk,7
newBalance,7
deletedUser,7
pendingMatchUpdate,7
scheduleRemoved,7
deviceCreated,7
userRoleCreated,7
userRoleChanged,7
userRoleRemoved,7
eventRemoved,7
ordersUpdated,7
contactDeleted,7
customerDeleted,7
userSaved,7
cancel_at_period_end,7
paywiserGetUserNotification,7
paywiserMerchantGetUserNotification,7
uploadProgress,7
pollChanged,7
adviceRequestCreated,7
adviceRequestUpdated,7
adviceRequestDeleted,7
algorithmConfigUpdated,7
aocCreated,7
aocUpdated,7
aocDeleted,7
classificationCreated,7
classificationUpdated,7
classificationDeleted,7
correctionCreated,7
correctionUpdated,7
correctionDeleted,7
countryUpdated,7
exceptionCreated,7
exceptionUpdated,7
exceptionDeleted,7
faqDeleted,7
firmwareCreated,7
firmwareUpdated,7
firmwareDeleted,7
foodCreated,7
foodUpdated,7
foodDeleted,7
grapeCreated,7
grapeUpdated,7
grapeDeleted,7
mainGrapeCreated,7
mainGrapeUpdated,7
mainGrapeDeleted,7
regionCreated,7
scanCreated,7
suggestionCreated,7
suggestionUpdated,7
suggestionDeleted,7
validationItemCreated,7
validationItemUpdated,7
validationItemDeleted,7
validationRunCreated,7
validationRunUpdated,7
wineCreated,7
wineUpdated,7
wineDeleted,7
newGroupCollection,7
newVehicleDayStats,7
newVehicleIntervalStats,7
newVehicleRoutePoints,7
projectChanged,7
pollUpdated,7
productCreated,7
appointmentUpdated,7
onUpdateUser,7
userPermissionsUpdated,7
companyUpdated,7
chatplusMessageStatusesUpdate,7
userOnline,7
executionUpdated,7
userAdded,7
chatRoomUpdated,7
absaAspectCreated,7
absaAspectCreatedForProject,7
absaAspectDeleted,7
absaAspectDeletedForProject,7
absaAspectEdited,7
absaAspectEditedForProject,7
absaSampleAppliedForProject,7
absaSampleCreated,7
absaSampleDeleted,7
absaSampleDeletedForProject,7
absaSampleEdited,7
absaSampleEditedForProject,7
absaSampleLocked,7
absaSampleLockedForProject,7
answerEdited,7
clusterSentencesChangedImportance,7
clusterSentencesDeleted,7
clusterUnpacked,7
clusteringUpdated,7
conversationLastSeenAt,7
conversationProgressChange,7
conversationStatusChange,7
entityInstanceDeleted,7
feedbackChangesApplied,7
feedbackEdited,7
feedbackLocked,7
feedbacksApplied,7
feedbacksDeleted,7
feedbacksEdited,7
feedbacksMovedOutsideCluster,7
humanTakeoverMessage,7
intentAdded,7
intentAddedForProject,7
intentCategoriesMoved,7
intentCategoryAdded,7
intentCategoryDeleted,7
intentCategoryDuplicated,7
intentCategoryEdited,7
intentCategoryUpdated,7
intentCategoryUpdatedForProject,7
intentCategoryUpdatedUndoForProject,7
intentEdited,7
intentEditedForProject,7
intentQualityMetrics,7
intentRestored,7
intentsDeleted,7
intentsDeletedForProject,7
intentsDeletedUndo,7
intentsDeletedUndoForProject,7
intentsDuplicated,7
intentsDuplicatedForProject,7
productionSynced,7
projectQuotaChanged,7
trainingSetAdded,7
trainingSetDeleted,7
trainingSetEdited,7
trainingUpdated,7
variableDeleted,7
interactionDeleted,7
commentRemoved,7
filters,6
country,6
menu,6
uuid,6
user_id,6
currentUser,6
metadata,6
items,6
section,6
item,6
campaign,6
auth,6
health,6
workspace,6
app,6
redirectUrl,6
attachment,6
userByUsername,6
blog,6
base,6
station,6
transfer,6
sponsors,6
directory,6
equipment,6
subscriptionPlan,6
paymentStatus,6
release,6
ranking,6
paymentIntent,6
serverTime,6
